;Type;DHID;Name;Latitude;Longitude
386190;S;de:02000:49004;Hamburg, Großmoorbogen;53,453034;10,006043
388391;S;de:02000:70057;Hamburg, Gründgensstraße (Ost);53,61382;10,066137
388580;S;de:02000:71020;Hamburg, Steinwegel;53,655153;10,125021
384568;S;de:02000:21953;Hamburg, Allermöhe;53,49048;10,158458
387953;S;de:02000:64026;Hamburg, Geesthachter Weg;53,588424;10,17124
390857;S;de:02000:90034;Hamburg, Kapstadtring;53,605435;10,025256
389232;S;de:02000:80024;Hamburg, Goethestraße;53,55198;9,940084
384105;S;de:02000:11951;Hamburg, Dammtor (Messe/CCH);53,560951;9,989739
388436;S;de:02000:70069;Hamburg, Finkenau;53,571315;10,029698
385125;S;de:02000:24026;Hamburg, Gammer Weg (Süd);53,426939;10,273431
387523;S;de:02000:62029;Hamburg, Wilsonstraße;53,587927;10,129425
389465;S;de:02000:80077;Hamburg, Flurkamp;53,573287;9,864729
388422;S;de:02000:70065;Hamburg, Maybachstraße;53,598138;10,056316
385616;S;de:02000:40214;Hamburg, Rubbertstraße 30;53,510909;10,004008
383800;S;de:02000:11007;Hamburg, Museum für Hamburgische Geschichte;53,550477;9,974029
389965;S;de:02000:81110;Hamburg, Johanneskirche Rissen;53,580552;9,762388
384145;S;de:02000:19165;Hamburg, U Legienstraße (SEV);53,546205;10,097883
390251;S;de:02000:83015;Hamburg, Reichsbahnstraße;53,602523;9,912233
390291;S;de:02000:83025;Hamburg, Jasminweg;53,614739;9,88037
389205;S;de:02000:80020;Hamburg, U S Landungsbrücken;53,546211;9,969435
389800;S;de:02000:81042;Hamburg, Blankeneser Friedhof;53,576362;9,802562
386155;S;de:02000:44013;Hamburg, Appelbütteler Weg;53,436731;9,934603
385500;S;de:02000:26032;Hamburg, August-Bebel-Straße;53,483182;10,233929
389541;S;de:02000:80099;Hamburg, Kleine Seilerstraße;53,551049;9,967856
387258;S;de:02000:61039;Hamburg, Feuerwehrakademie Hamburg;53,526693;10,07969
390342;S;de:02000:83900;Hamburg, Hagenbecks Tierpark;53,592481;9,944201
385447;S;de:02000:26002;Hamburg, Kirchhofsweg;53,483732;10,220657
390316;S;de:02000:83034;Hamburg, Mergenthalerweg;53,613329;9,895935
389027;S;de:02000:72037;Hamburg, Ödenweg;53,680382;10,095106
388171;S;de:02000:70007;Hamburg, Dorotheenstraße;53,587286;10,004988
386887;S;de:02000:55029;Hamburg, Kattwykdamm;53,493138;9,975517
383575;S;de:02000:10053;Hamburg, AK St. Georg;53,55996;10,014677
386623;S;de:02000:53022;Hamburg, Brandenburger Straße;53,524463;9,982947
390847;S;de:02000:90031;Hamburg, Brabandstraße;53,613374;10,008841
391212;S;de:02000:92009;Hamburg, Wördenmoorweg;53,654597;10,019537
385281;S;de:02000:24075;Hamburg, Kiebitzdeich (Mitte);53,415222;10,226139
390514;S;de:02000:84039;Hamburg, Ruhrstraße;53,570693;9,923321
390935;S;de:02000:90904;Hamburg, Kellinghusenstraße;53,58875;9,991008
383945;S;de:02000:11043;Hamburg, Rathausmarkt (Petrikirche);53,55035;9,99604
387407;S;de:02000:62001;Hamburg, Hüllenkamp;53,587675;10,15491
389392;S;de:02000:80059;Hamburg, Fischauktionshalle;53,545148;9,951821
388356;S;de:02000:70048;Hamburg, Richeystraße;53,603238;10,051685
387751;S;de:02000:63036;Hamburg, Pflegezentrum Farmsen;53,613717;10,114867
384648;S;de:02000:22025;Hamburg, Rudorffweg;53,512443;10,178414
386561;S;de:02000:52981;Hamburg, Waltershof;53,525649;9,937224
387716;S;de:02000:63027;Hamburg, Sylter Weg;53,590214;10,104945
383999;S;de:02000:11070;Hamburg, Lademannbogen 51;53,643277;10,030937
384340;S;de:02000:21008;Hamburg, Billwerder Kirche;53,514361;10,127723
384881;S;de:02000:23039;Hamburg, Alte Schule Seefeld;53,444012;10,164312
