Unnamed: 0;Type;DHID;Name;Latitude;Longitude
407332;S;de:06414:25321;Wiesbaden-Biebrich Äppelallee;50,047521;8,230026
417689;S;de:06435:13657;Hanau Drosselstraße;50,149567;8,874381
256818;Q;de:11000:900180509::2;Bushalt Kaulsdorfer Straße vor Hoppendorfer Straße;52,4731;13,570959
477054;S;de:13074:5032;Wismar Dr.-Leber-Straße;53,891895;11,470516
582093;S;de:05554:35340;Vardingholt, Zum Venn;51,886665;6,739287
751243;Q;de:08226:4047:0:RiO;RiO;49,300725;8,640473
66459;A;de:08415:28235:90;90;48,528136;9,344168
771391;S;de:15082:7746;Badewitz (Straguth);52,020549;12,163058
168030;Q;de:09373:17563:0:2;2;49,202873;11,848886
212898;Q;de:09577:16567:0:2;2;49,055171;10,997239
624286;Q;de:05770:30046:0:2;2;52,206292;8,788012
323917;S;de:03255:11173;Boffzen Firma Bach;51,75906;9,40519
