Name;Latitude;Longitude
Gurudwara Rakab Ganj Road;28.6209;77.2073
Kendriya Terminal (Church Road);28.617308;77.203983
Najafgarh Terminal;28.614614000000003;76.978024
Jharoda Crossing/Nazafgarh Terminal;28.613617;76.97971700000002
Jharoda Crossing;28.614082;76.980687
Health Centre;28.61415;76.985217
NajafGarh Delhi Gate;28.612627000000003;76.986253
Tuda Mandi;28.612622;76.99150999999998
Power House NajafGarh;28.61325;76.996217
Sai Baba Mandir (Nazafgarh);28.61375;76.99985
Nangli Sakrawati;28.614667;77.0034
Nangli Sakrawati Crossing;28.616417;77.007333
Arjun Park;28.618;77.012067
Chhathh Ghat Park;28.619105;77.015167
Nangli Dairy;28.62013300000001;77.01795
Kakrola Bridge;28.6201;77.024509
Kakrola More;28.619347;77.028577
Kakrola Crossing / Dwarka More;28.6190046863409;77.03117079452271
Dwarka More Metro Station (Sewak Park);28.619332;77.03250799999998
Rama Park;28.619965000000004;77.03671899999998
Mohan Garden;28.620385;77.04079499999997
Nawada Gaon;28.620349;77.044853
Kiran Garden;28.62081;77.048338
Om Vihar;28.621124;77.05154300000002
Prem Nagar;28.62211;77.056846
Uttam Nagar;28.623017;77.06031
Uttam Nagar / A1 Janak Puri;28.624767;77.06775
Tilak Pul;28.6215;77.07
Jivan park;28.62;77.0733
C-1 Janak Puri;28.6182;77.077017
C-1 Janak Puri;28.6174;77.0785
C-2 Janak Puri;28.616099;77.081447
C2D Janak Puri;28.614296000000003;77.085552
Dabri Crossing (Pankha Road);28.613374;77.087756
Janak Cinema;28.610936;77.093097
Desu Colony Janak Puri;28.610011;77.095348
SagarPur Vashisht Park;28.60921500000001;77.101033
D Block Janak Puri;28.61096;77.103583
Lajwanti Garden;28.614;77.1062
Lajwanti Garden (Carriappa Marg);28.61313;77.109679
Janak Setu;28.6107;77.1139
Supply Depot;28.606783;77.123367
Kirbi Place;28.60483300000001;77.128283
Thimiyan Park;28.602817;77.133517
S O Flats Carriappa Marg;28.600317;77.13973299999998
R R Line;28.596167;77.1504
Golf Club;28.592967;77.15848299999998
Dhaula Kuan;28.592987;77.162867
BBM Cluster Depot;28.703583;77.21068299999997
Sewa Kutir;28.702162;77.209581
GTB Nagar / Haqiqat Nagar;28.69815800000001;77.207636
INS Hostel;28.6961333333333;77.2122666666667
Vishwa Vidyalaya Metro Station;28.695039;77.215261
Mall Road;28.693783000000003;77.21866700000002
Banarsi Daas Estate Timarpur;28.69714;77.220359
Timarpur;28.701233333333303;77.2212666666667
Balak Ram Hospital;28.7054;77.22316667
Police Station Timarpur;28.707017;77.223917
Nehru Vihar Crossing;28.709067;77.226233
Wazirabad Crossing;28.711467;77.228167
Gurudwara Nanak Sar;28.710233;77.24136700000003
Pusta No 1 Sonia Vihar;28.7189;77.24325
Pusta No 2 Sonia Vihar;28.721517;77.24386700000002
Pusta No 3 Sonia Vihar;28.725583;77.2448
Gatta Factory Sonia Vihar;28.730183;77.24575
Sonia Vihar;28.7324;77.24623299999998
Pusta No 5 Sonia Vihar;28.734583;77.246633
Check Post;28.739367;77.24745
Annpurna Mandir;28.74245;77.246567
Sabhapur More;28.750167;77.24385
Chauhan Patti (Terminal);28.754767;77.24325
NHAI Building/ Dwarka Sec-10 Metro Station;28.578409000000004;77.058932
Dwarka Sec-19 Modern School;28.578591;77.054908
Amrohi More;28.574383;77.05115
St Marry School;28.573412;77.048418
Police Post;28.577292;77.035195
Qutub Vihar Phase-I Kikar Stand;28.578247;77.02915
Jhankar Crossing;28.57905;77.024348
Goyla Dairy;28.579766;77.021478
Nehru Bus Stand Goyla Dairy;28.580346;77.019327
St Thomas School Goyla Vihar;28.581816;77.015072
Taj Pur More;28.58327;77.011534
Goyla Village;28.587476;77.008636
Shyam Vihar;28.591403000000003;77.000404
Goela Dairy Crossing;28.591084;76.9931
Deenpur Village;28.5933;76.9918
Durga Vihar;28.5965;76.9902
BDO Office Roshan Pura;28.600503000000003;76.988603
Chhawla Stand Najafgarh;28.6084;76.9853
Police Station Najafgarh;28.6096;76.9827
Nazafgarh Dhansa More;28.612021;76.978565
Dichau Chowk;28.6173;76.983867
Udaseen Ashram;28.621783;76.988067
Nirmal Vihar;28.62545;76.99243299999998
Dichau Kalan Depot;28.629315;76.997763
Azad Pur Terminal;28.707535;77.17819200000002
New Sabzi Mandi;28.7139;77.1725
Adarsh Nagar / Bharola Village;28.715917;77.170867
Sarai Peepal Thala;28.720417;77.166983
Mahindra Park;28.7215333333333;77.166
Jahangir Puri GT Road;28.7251;77.163217
Jahangir Puri Metro Station;28.7273;77.161583
GTK Depot;28.731183;77.158617
Mukarba Chowk;28.73465;77.15576899999998
Sanjay Gandhi Transport Nagar;28.738331;77.154234
Libas Pur GT Road;28.752467;77.149383
Swaroop Nagar GT Road;28.75805;77.14765
Gurudwara Siraspur GT Road;28.76486;77.145315
Nangli Poona More;28.771708;77.142899
Khera Garhi;28.771944;77.121967
Khera Kalan School;28.771903;77.117675
Khera Kalan Gaon;28.772345;77.115104
Rishi Dharmarth Chikitsalaya;28.773931;77.104022
Khera Khurd Village;28.773947;77.100381
Khera Khurd Nahar Crossing;28.773761;77.09241
Naya Bans;28.783337;77.096637
Mann School;28.793447;77.095545
Holambi Khurd DRID College;28.795391;77.09778399999998
Holambi Khurd;28.799721;77.096011
Holambi Kalan Terminal;28.801883;77.096003
Holambi Kalan Crossing;28.809564;77.107095
Shahpur Garhi;28.817688;77.102397
